ano,mes,data,regiao,uf,setor,tipo_ataque,vulnerabilidade,incidentes,impacto_financeiro,tempo_recuperacao,sistemas_afetados,nivel_criticidade,status_resposta
2015,1,2015-01-01,Norte,AM,Saúde,Ransomware,Falha humana,13,871910.4,94.6,53,Crítico,Resolvido
2015,1,2015-01-01,Norte,PA,Financeiro,Malware,Senha fraca,12,310256.99,89.0,24,Crítico,Em análise
2015,1,2015-01-01,Norte,PA,Governo,Malware,Sem MFA,15,1009898.83,6.2,53,Baixo,Resolvido
2015,1,2015-01-01,Norte,RO,Educação,Malware,Falha humana,9,1104263.85,19.1,45,Alto,Resolvido
2015,1,2015-01-01,Norte,TO,Varejo,Vazamento,Sistema desatualizado,14,57857.91,62.4,34,Baixo,Resolvido
2015,1,2015-01-01,Nordeste,BA,Governo,Malware,Sem MFA,8,591269.63,27.5,68,Baixo,Mitigado
2015,1,2015-01-01,Nordeste,BA,Varejo,Ransomware,Senha fraca,12,1587863.56,44.4,14,Crítico,Mitigado
2015,1,2015-01-01,Nordeste,PE,Governo,Phishing,Falha humana,6,874997.44,40.2,52,Médio,Em análise
2015,1,2015-01-01,Nordeste,PE,Educação,DDoS,Sistema desatualizado,9,288338.83,69.0,37,Crítico,Resolvido
2015,1,2015-01-01,Nordeste,CE,Educação,Malware,Sistema desatualizado,14,699845.44,68.7,46,Alto,Mitigado
2015,1,2015-01-01,Nordeste,CE,Educação,Ransomware,Sistema desatualizado,14,129259.86,93.2,20,Baixo,Resolvido
2015,1,2015-01-01,Nordeste,MA,Financeiro,Malware,Falha humana,8,1147730.44,17.5,59,Médio,Em análise
2015,1,2015-01-01,Nordeste,PB,Financeiro,DDoS,Falha humana,13,1410825.4,76.2,52,Alto,Mitigado
2015,1,2015-01-01,Centro-Oeste,DF,Educação,Phishing,Falha humana,18,949113.69,49.5,16,Baixo,Resolvido
2015,1,2015-01-01,Centro-Oeste,GO,Varejo,Malware,Falha humana,7,1261422.51,24.2,43,Crítico,Mitigado
2015,1,2015-01-01,Centro-Oeste,GO,Saúde,Malware,Sem MFA,12,1921412.34,5.9,50,Médio,Em análise
2015,1,2015-01-01,Centro-Oeste,MT,Educação,Vazamento,Falha humana,11,1485010.41,60.7,58,Crítico,Mitigado
2015,1,2015-01-01,Centro-Oeste,MS,Educação,Vazamento,Senha fraca,9,760772.3,8.6,62,Crítico,Resolvido
2015,1,2015-01-01,Sudeste,SP,Saúde,Phishing,Falha humana,13,1532959.16,80.3,52,Médio,Mitigado
2015,1,2015-01-01,Sudeste,SP,Educação,Vazamento,Senha fraca,17,1365741.73,71.4,46,Crítico,Em análise
2015,1,2015-01-01,Sudeste,SP,Saúde,Vazamento,Falha humana,12,1476065.18,64.2,2,Médio,Resolvido
2015,1,2015-01-01,Sudeste,RJ,Varejo,DDoS,Falha humana,10,418395.67,103.7,44,Alto,Resolvido
2015,1,2015-01-01,Sudeste,RJ,Financeiro,Vazamento,Sem MFA,13,17625.03,97.1,36,Alto,Mitigado
2015,1,2015-01-01,Sudeste,RJ,Varejo,DDoS,Senha fraca,15,1229981.22,72.3,20,Baixo,Mitigado
2015,1,2015-01-01,Sudeste,RJ,Educação,Phishing,Senha fraca,13,576249.97,78.5,22,Alto,Em análise
2015,1,2015-01-01,Sudeste,MG,Saúde,Malware,Sistema desatualizado,14,603025.26,108.2,50,Crítico,Resolvido
2015,1,2015-01-01,Sudeste,MG,Saúde,DDoS,Falha humana,16,289074.34,84.9,8,Alto,Mitigado
2015,1,2015-01-01,Sudeste,MG,Saúde,Vazamento,Senha fraca,15,288558.67,64.6,62,Médio,Resolvido
2015,1,2015-01-01,Sudeste,ES,Educação,Malware,Sem MFA,9,546358.06,23.6,56,Crítico,Mitigado
2015,1,2015-01-01,Sudeste,ES,Saúde,DDoS,Sistema desatualizado,7,650725.26,89.7,59,Baixo,Em análise
2015,1,2015-01-01,Sudeste,ES,Saúde,Malware,Senha fraca,12,1518097.86,11.4,31,Baixo,Mitigado
2015,1,2015-01-01,Sul,PR,Financeiro,Malware,Sem MFA,13,1586001.32,11.5,77,Baixo,Em análise
2015,1,2015-01-01,Sul,PR,Educação,Phishing,Senha fraca,11,1135449.36,106.2,16,Médio,Em análise
2015,1,2015-01-01,Sul,SC,Saúde,Ransomware,Sem MFA,9,1210304.19,100.0,79,Crítico,Resolvido
2015,1,2015-01-01,Sul,SC,Financeiro,DDoS,Falha humana,19,1136279.85,52.3,32,Baixo,Mitigado
2015,1,2015-01-01,Sul,RS,Financeiro,DDoS,Sistema desatualizado,11,850479.64,38.9,55,Médio,Resolvido
2015,1,2015-01-01,Sul,RS,Educação,Vazamento,Falha humana,14,1450177.37,57.0,79,Médio,Mitigado
2015,2,2015-02-01,Norte,AM,Saúde,Vazamento,Sistema desatualizado,15,61476.07,119.8,55,Alto,Mitigado
2015,2,2015-02-01,Norte,PA,Varejo,DDoS,Sem MFA,12,995286.28,91.5,68,Baixo,Mitigado
2015,2,2015-02-01,Norte,PA,Saúde,Vazamento,Falha humana,14,765183.45,77.0,9,Baixo,Resolvido
2015,2,2015-02-01,Norte,RO,Financeiro,Ransomware,Sem MFA,10,351242.7,24.4,13,Alto,Resolvido
2015,2,2015-02-01,Norte,TO,Saúde,Phishing,Sistema desatualizado,14,100135.24,49.0,5,Crítico,Mitigado
2015,2,2015-02-01,Nordeste,BA,Varejo,Vazamento,Senha fraca,7,666039.34,17.4,79,Crítico,Resolvido
2015,2,2015-02-01,Nordeste,BA,Educação,Malware,Senha fraca,14,1333280.1,80.4,15,Baixo,Mitigado
2015,2,2015-02-01,Nordeste,PE,Saúde,Phishing,Sem MFA,10,138101.37,108.8,19,Crítico,Mitigado
2015,2,2015-02-01,Nordeste,PE,Varejo,Phishing,Falha humana,15,1816604.35,83.4,51,Baixo,Resolvido
2015,2,2015-02-01,Nordeste,CE,Saúde,Ransomware,Sem MFA,13,1390575.04,45.3,33,Médio,Em análise
2015,2,2015-02-01,Nordeste,CE,Governo,Malware,Falha humana,14,898612.23,103.9,14,Baixo,Mitigado
2015,2,2015-02-01,Nordeste,MA,Financeiro,DDoS,Senha fraca,17,829314.76,66.2,5,Médio,Em análise
2015,2,2015-02-01,Nordeste,PB,Financeiro,Malware,Sem MFA,15,918722.64,62.6,66,Baixo,Mitigado
2015,2,2015-02-01,Centro-Oeste,DF,Varejo,Vazamento,Sistema desatualizado,15,702721.26,95.8,55,Crítico,Em análise
2015,2,2015-02-01,Centro-Oeste,GO,Governo,Malware,Falha humana,14,1902733.25,51.5,70,Médio,Resolvido
2015,2,2015-02-01,Centro-Oeste,GO,Varejo,Malware,Sistema desatualizado,12,783319.08,65.7,6,Médio,Resolvido
2015,2,2015-02-01,Centro-Oeste,MT,Saúde,Phishing,Sistema desatualizado,9,1429633.95,44.0,55,Baixo,Mitigado
2015,2,2015-02-01,Centro-Oeste,MS,Financeiro,DDoS,Falha humana,6,1718779.74,97.4,43,Crítico,Mitigado
2015,2,2015-02-01,Sudeste,SP,Educação,Vazamento,Sistema desatualizado,10,139346.14,85.0,29,Médio,Em análise
2015,2,2015-02-01,Sudeste,SP,Varejo,Phishing,Sem MFA,19,1676333.06,62.4,8,Baixo,Em análise
2015,2,2015-02-01,Sudeste,SP,Saúde,Malware,Senha fraca,15,38718.72,67.7,16,Crítico,Em análise
